Line,threat,predictor,states,CAR,scramble,justEndemics,islands,status
"runStanModel(threat ='c2pt1_crops', predictors = c('nlcdCropsStd'), states = TRUE, ncores = 4, CAR = FALSE, scramble = FALSE, justEndemics = FALSE, islands = TRUE)	",'c2pt1_crops', c('nlcdCropsStd'), TRUE, FALSE, FALSE, FALSE, FALSE,NA
"runStanModel(threat ='c2p0x1x2x3_allAg', predictors = c('cropSuitStd'), states = TRUE, ncores = 4, CAR = FALSE, scramble = FALSE, justEndemics = FALSE, islands = TRUE)	",'c2p0x1x2x3_allAg', c('cropSuitStd'), TRUE, FALSE, FALSE, FALSE, FALSE,NA
"runStanModel(threat ='c2pt1_crops',predictors =  c('venterCropStd'), states = TRUE, ncores = 4, CAR = FALSE, scramble = FALSE, justEndemics = FALSE, islands = TRUE)	",'c2pt1_crops',  c('venterCropStd'), TRUE, FALSE, FALSE, FALSE, FALSE,NA
"runStanModel(threat='c2pt1_crops',predictors=c('cropSuitStd'),states=TRUE,ncores=4,CAR=FALSE,scramble=FALSE,justEndemics=FALSE,islands=TRUE)	",'c2pt1_crops',c('cropSuitStd'), TRUE, FALSE, FALSE, FALSE, FALSE,NA
"runStanModel(threat='c2pt3_livestock',predictors=c('nlcdPastureStd'),states=TRUE,ncores=4,CAR=FALSE,scramble=FALSE,justEndemics=FALSE,islands=TRUE)	",'c2pt3_livestock',c('nlcdPastureStd'), TRUE, FALSE, FALSE, FALSE, FALSE,NA
"runStanModel(threat='c2pt3_livestock',predictors=c('nlcdGrassPastureStd'),states=TRUE,ncores=4,CAR=FALSE,scramble=FALSE,justEndemics=FALSE,islands=TRUE)	",'c2pt3_livestock',c('nlcdGrassPastureStd'), TRUE, FALSE, FALSE, FALSE, FALSE,NA
"runStanModel(threat='anyThreat',predictors=c(""venterHFIStd""),states=FALSE,ncores=4,CAR=FALSE,scramble=FALSE,justEndemics=FALSE,islands=TRUE)	",'anyThreat',"c(""venterHFIStd"")", TRUE, FALSE, FALSE, FALSE, FALSE,NA
"runStanModel(threat='anyThreat',predictors=c('gap12X1aStd'),states=TRUE,ncores=4,CAR=FALSE,scramble=FALSE,justEndemics=FALSE,islands=TRUE)	",'anyThreat',c('gap12X1aStd'), TRUE, FALSE, FALSE, FALSE, FALSE,NA
"runStanModel(threat='allRoads',predictors=c('venterRoadStd'),states=TRUE,ncores=4,CAR=FALSE,scramble=FALSE,justEndemics=FALSE,islands=TRUE)	",'allRoads',c('venterRoadStd'), TRUE, FALSE, FALSE, FALSE, FALSE,NA
"runStanModel(threat='c1p0x1x2x3_allDev',predictors=c('venterPop1990sStd'),states=TRUE,ncores=4,CAR=FALSE,scramble=FALSE,justEndemics=FALSE,islands=TRUE)	",'c1p0x1x2x3_allDev',c('venterPop1990sStd'), TRUE, FALSE, FALSE, FALSE, FALSE,NA
